fid,area_name_russian,Lukashenko,Kebich,Pazniak,Shushkevich,Dubko,Novikau,latitude_wgs84,longitude_wgs84,area_name_belarusian,non_lukashenko,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,HubName,HubDist,fid_2,ID_,NAME1_,Control,AREA,PERIMETER
"7",Ганцевичский район,0.66,0.068,0.124,0.037,0.052,0.023,52.7567,26.4314,Ганцавіцкі раён,0.34,"22",BLR,Belarus,"1",Brest,"5",Hancavichy,Raion,District,,Gancevichi,"171",39.2510837192554,"1",P1306,£uniniec district,ja,5874.6179427,392.528998759
"14",Лунинецкий район,0.697,0.062,0.093,0.048,0.062,0.013,52.2503,26.7922,Лунінецкі раён,0.303,"22",BLR,Belarus,"1",Brest,"10",Luninets,Raion,District,,,"70",49.669079795903,"1",P1306,£uniniec district,ja,5874.6179427,392.528998759
"13",Лунинец,0.604,0.105,0.131,0.089,0.024,0.019,52.2435,26.8111,Лунінец,0.396,"22",BLR,Belarus,"1",Brest,"10",Luninets,Raion,District,,,"70",49.5920991482452,"1",P1306,£uniniec district,ja,5874.6179427,392.528998759
"66",Слоним,0.278,0.246,0.22,0.1,0.06,0.02,53.077,25.3166,Слонім,0.722,"22",BLR,Belarus,"3",Hrodna,"50",Slonim,Raion,District,,,"166",100.100817603705,"2",P1201,S³onim district,ja,3022.70750296,289.019336914
"67",Слонимский район,0.386,0.198,0.189,0.05,0.096,0.02,53.0817,25.3167,Слонімскі раён,0.61400002,"22",BLR,Belarus,"3",Hrodna,"50",Slonim,Raion,District,,,"165",100.097176581239,"2",P1201,S³onim district,ja,3022.70750296,289.019336914
"107",Клецкий район,0.629,0.09,0.103,0.071,0.049,0.024,53.062,26.6372,Клецкі раён,0.37099999,"22",BLR,Belarus,"5",Minsk,"81",Klyetsak,Raion,District,,Kletsk,"166",11.6741664687466,"3",P1203,Niewie¿ district,ja,1975.45913188,260.33569506
"125",Несвижский район,0.425,0.091,0.237,0.086,0.089,0.021,53.2151,26.6667,Нясвіжскі раён,0.57499999,"22",BLR,Belarus,"5",Minsk,"88",Nyas'vizh,Raion,District,,Nesvizh,"159",12.8053783178969,"3",P1203,Niewie¿ district,ja,1975.45913188,260.33569506
"2",Барановичский район,0.541,0.112,0.11,0.065,0.111,0.025,53.1262,25.9799,Баранавіцкі раён,0.45899999,"22",BLR,Belarus,"1",Brest,"1",Baranavichy,Raion,District,,Baranovichi,"165",55.8303365993159,"4",P1202,Baranowicze district,ja,3374.505573,355.04011477
"1",Барановичи,0.447,0.163,0.149,0.127,0.035,0.047,53.1102,25.9834,Баранавічы,0.55299997,"22",BLR,Belarus,"1",Brest,"1",Baranavichy,Raion,District,,Baranovichi,"165",55.483865633425,"4",P1202,Baranowicze district,ja,3374.505573,355.04011477
"15",Ляховичский район,0.63,0.068,0.16,0.051,0.07,0.019,53.0373,26.2664,Ляхавіцкі раён,0.37,"22",BLR,Belarus,"1",Brest,"11",Lyakhavichy,Raion,District,,Lyahovichi,"166",36.6912422448108,"4",P1202,Baranowicze district,ja,3374.505573,355.04011477
"134",Столбцовский район,0.448,0.098,0.175,0.078,0.145,0.019,53.4817,26.7333,Стаўбцоўскі раён,0.55199999,"22",BLR,Belarus,"5",Minsk,"94",Stowptsy,Raion,District,,Stolbtsu,"484",12.6054016793883,"5",P1206,Stolpce district,ja,2101.16518558,242.468044436
"54",Дятловский район,0.386,0.17,0.189,0.078,0.09,0.035,53.4484,25.4,Дзяталаўскі раён,0.61400002,"22",BLR,Belarus,"3",Hrodna,"41",Dzyatlava,Raion,District,,Dyatlovo,"165",102.492402679769,"6",P1205,Nowogródek district,ja,2998.06593531,352.850931976
"63",Новогрудский район,0.579,0.075,0.11,0.05,0.108,0.02,53.5817,25.8167,Навагрудскі раён,0.421,"22",BLR,Belarus,"3",Hrodna,"47",Navahradak,Raion,District,,Novogrudok,"463",71.2850598220638,"6",P1205,Nowogródek district,ja,2998.06593531,352.850931976
"62",Новогрудок,0.45,0.097,0.217,0.106,0.056,0.02,53.5769,25.8168,Навагрудак,0.55000001,"22",BLR,Belarus,"3",Hrodna,"47",Navahradak,Raion,District,,Novogrudok,"463",71.3520460044292,"6",P1205,Nowogródek district,ja,2998.06593531,352.850931976
"58",Кореличский район,0.55,0.096,0.119,0.07,0.079,0.019,53.5651,26.1333,Карэліцкі раён,0.44999999,"22",BLR,Belarus,"3",Hrodna,"44",Karelichy,Raion,District,,Korelichi,"463",50.9461594696771,"6",P1205,Nowogródek district,ja,2998.06593531,352.850931976
"9",Ивацевичский район,0.652,0.079,0.12,0.049,0.039,0.026,52.7115,25.3428,Івацэвіцкі раён,0.34799999,"22",BLR,Belarus,"1",Brest,"7",Ivatsevichy,Raion,District,,Ivatsevichi,"171",105.209031197606,"7",P1305,Kosów district,ja,3566.82494253,340.157415961
